datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/2 5:00,46.8,3.2,0.7,-3.8982687,-3.3130713,18.582397,5.1165867,49.582676,85.26833,1017.6983,0,0,1268832.5,7.3988814,58.298637,624.58093,98.8
2022/1/2 6:00,44.2,3.8,0.71999997,-3.8549378,-3.3294477,18.503067,5.09455,49.116764,84.7964,1017.94855,0,0,1257992.5,6.982133,57.008644,516.52875,94.6
2022/1/2 7:00,41.4,4.2,0.6999999,-3.8203943,-3.3386045,18.433601,5.07475,48.77205,84.30818,1018.18317,0,0,1260844.5,6.76623,52.738087,489.16812,92.2
2022/1/2 8:00,47.4,4.6,0.6999999,-3.7287688,-3.3455381,18.565346,5.0114245,47.995304,82.8944,1018.8809,-0.001970679,93256.5,1247199.5,6.441037,50.126896,534.31085,84.8
2022/1/2 9:00,52.8,6.6,0.76000005,-4.150391,-3.4966054,19.218925,5.427985,49.828777,79.27669,1019.3324,0,612025,1230112,6.252713,49.126984,605.45447,74.2
2022/1/2 10:00,52,6.4,0.74,-5.172371,-3.4934726,19.947159,6.241908,55.978996,74.5389,1019.9708,0,1323272,1228797.8,6.105307,48.623985,655.1803,79.8
2022/1/2 11:00,52,6,0.76,-5.5158944,-3.2563386,20.454033,6.4082985,59.462433,72.021576,1019.6528,0,1936178.4,1255911,6.181466,48.385258,710.84863,91.4
2022/1/2 12:00,53.2,5.8,0.78000003,-5.49358,-3.2864895,20.706993,6.404456,59.11965,70.75845,1019.2257,0,2318473,1268327,6.224469,49.617954,746.8405,104.4
2022/1/2 13:00,61.2,4.2,0.82,-5.4245186,-3.4423337,20.593742,6.4275274,57.58864,71.804245,1017.9088,0,2289596.8,1290873,6.2681503,48.912285,751.07214,121.8
2022/1/2 14:00,65.2,3.4,0.82,-5.3778825,-3.484075,20.440636,6.4105954,57.035614,72.54384,1016.6343,0.002151355,2196308.8,1307711.5,5.3580546,45.908607,690.28613,140.6
2022/1/2 15:00,63.2,4.4,0.82,-4.891884,-3.2269711,20.117493,5.8679814,56.5793,74.41774,1016.3362,0,2005803.8,1254913,5.326233,43.052803,662.9867,148
2022/1/2 16:00,56.4,4,0.78000003,-5.244445,-2.4722617,19.909836,5.8032503,64.72524,74.74162,1016.0493,0,1554525.5,1244780.5,5.5434256,41.067406,623.93933,147.4
2022/1/2 17:00,50.8,5.4,0.78000003,-5.40544,-1.7866249,19.785767,5.694091,71.69396,74.88897,1016.1182,0,923250,1254484.2,6.0493927,40.83866,593.0192,147.4
